rna_family,n_x,same_family_f1,same_family_f1_std,sensitivity_mean_x,ppv_mean_x,purity_mean_x,top1_match_mean,avg_similarity_mean_x,n_y,lofo_f1,lofo_f1_std,sensitivity_mean_y,ppv_mean_y,purity_mean_y,avg_similarity_mean_y,generalization_gap
tRNA,5,0.8663583082187734,0.1140240796992401,0.8257142857142856,0.9186868686868688,1.0,1.0,0.4234613415047839,200,0.3766509684062691,0.2690455363369018,0.3466168248270079,0.4625931942642317,0.0,0.1365067686576762,0.48970733981250425
5S_rRNA,9,0.7969956859497428,0.132441742163126,0.7784457078693321,0.8301097081457613,1.0,1.0,2.1372669394527977,200,0.4831208291502313,0.2875037015159671,0.4864983671002777,0.4848206528854499,0.0,0.1190058651802992,0.3138748567995115
16S_rRNA,6,0.7025952690441581,0.2588486999443937,0.6918916629733284,0.7159681857881369,1.0,1.0,0.7546230332764496,200,0.4187877438576848,0.1127386829435935,0.4400646190221799,0.400663758444072,0.0,0.0493159233703977,0.28380752518647334
group_I_intron,8,0.6110295268251447,0.2655620529157252,0.5756235837633332,0.6580449508807948,0.925,1.0,2498781.0988362883,200,0.5295794232210429,0.1712474621949956,0.5284512729124246,0.5333400521395119,0.0,0.5488216685183306,0.08145010360410176
SRP,5,0.5793522172143475,0.4131544665742315,0.5872873286663551,0.624105695125613,0.92,1.0,3999036.848345565,200,0.5181119134973895,0.294730894603578,0.53349015487185,0.512045022341779,0.0,0.3549436907539977,0.06124030371695799
RNaseP,7,0.540540728159693,0.2531680358717217,0.5229983961413709,0.578518653838347,0.7999999999999999,0.8571428571428571,5710696.272945704,200,0.5398584839712282,0.1485359337259455,0.5717871945422113,0.5157892316725655,0.0,0.2402603053737879,0.0006822441884648534
tmRNA,5,0.3080829976877279,0.246743857130393,0.2371101048738023,0.457850946160833,0.72,0.8,7996142.754598506,200,0.2048091565479825,0.1043165073945962,0.2190905589596231,0.1957596095898746,0.0,71413.45195193213,0.10327384113974539
RfamFamily,5,0.0,0.0,0.0,0.0,0.4,0.6,0.3271049991399042,200,0.0,0.0,0.0,0.0,0.0,0.2858524719126176,0.0
