heldout_family,n,f1_mean,f1_std,sensitivity_mean,ppv_mean,purity_mean,avg_similarity_mean
SRP,200,0.5177860989213728,0.2889446462046883,0.5320590821589188,0.5211827837136302,0.0,0.281151555894011
group_I_intron,200,0.5163643540798688,0.1705491809682437,0.5116119335555535,0.5240054251479204,0.0,0.5400838197587974
RNaseP,200,0.5047589496974382,0.1471608910228786,0.5368647782817748,0.4845881991074354,0.0,0.226777616206538
16S_rRNA,200,0.4240742066101333,0.124457870074061,0.4387139944443264,0.4121631319639391,0.0,0.0459892423310934
5S_rRNA,200,0.4083204536707416,0.2307496042972697,0.371137296419716,0.4870568696151001,0.0,0.1070894422835073
tRNA,200,0.3773289425492644,0.1156464095714269,0.3077775055925513,0.5538302040106288,0.0,0.1228193916978425
tmRNA,200,0.1934806132446186,0.0999753092735191,0.2034904355860271,0.1907965929346281,0.0,0.2055993793839904
