method,n,f1,sens,ppv
oracle_guided_k5,1,0.24418604651162792,0.23333333333333334,0.25609756097560976
rnafm_faiss_guided_k1,1,0.0,0.0,0.0
rnafm_faiss_guided_k14,1,0.21164021164021166,0.2222222222222222,0.20202020202020202
rnafm_faiss_guided_k3,1,0.0,0.0,0.0
rnafm_faiss_guided_k5,1,0.0,0.0,0.0
rnafm_faiss_guided_k7,1,0.2127659574468085,0.2222222222222222,0.20408163265306123
rnafm_faiss_no_guidance_k5,1,0.20833333333333334,0.2222222222222222,0.19607843137254902
rnafm_faiss_template_guided_k5,1,0.13483146067415733,0.13333333333333333,0.13636363636363635
vienna_only,1,0.20833333333333334,0.2222222222222222,0.19607843137254902
