method,n,f1_mean,f1_std,sensitivity_mean,ppv_mean,purity_mean,runtime_mean
rnafm_faiss_guided_k14,50,0.569351208524424,0.30236916520991797,0.5497809441167908,0.6118514763363798,0.9114285714285714,0.2658369699999912
rnafm_faiss_guided_k7,50,0.5406826119807624,0.32357702450533804,0.5180028758612779,0.591169523767311,0.942857142857143,0.28126284199999646
rnafm_faiss_template_guided_k5,50,0.47711025893870324,0.35011507982673684,0.4542372937367037,0.5302363051183645,0.956,0.26723356799999237
rnafm_faiss_guided_k5,50,0.47711025893870324,0.35011507982673684,0.4542372937367037,0.5302363051183645,0.956,0.27265428199998953
rnafm_faiss_guided_k3,50,0.4684280339070231,0.3675210264611912,0.44237244536208287,0.5384597004879196,0.96,0.3084303139999997
vienna_only,50,0.44077727348712403,0.2519120919985211,0.46288660142016197,0.42233552948363084,0.0,2.2891428179999957
rnafm_faiss_no_guidance_k5,50,0.44077727348712403,0.2519120919985211,0.46288660142016197,0.42233552948363084,0.956,0.2941376840000066
rnafm_faiss_guided_k1,50,0.3883649572650455,0.38773803043935234,0.3591025047643852,0.46067930813606134,0.98,0.29806333799999263
oracle_guided_k5,50,0.3439436364332179,0.2687720465687763,0.3302123097993399,0.3769155723997086,1.0,0.300061016000011
