rna_family,baseline_n,baseline_f1,baseline_sensitivity,baseline_ppv,lofo_n,lofo_f1,lofo_sensitivity,lofo_ppv,transfer_gain
16S_rRNA,6,0.3693661966371617,0.3893836596324596,0.35172131727394923,200,0.3959979987002601,0.40344476497515613,0.39100715075125436,0.026631802063098398
5S_rRNA,9,0.42822274653260567,0.45305882725632884,0.4063106412432471,200,0.29990232857356824,0.2818160976204758,0.3319922866982907,-0.12832041795903742
RNaseP,7,0.3043349139465893,0.32956719352503683,0.28587607425275857,200,0.46449949658181333,0.4905726658847756,0.4535068171308918,0.16016458263522404
RfamFamily,5,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0
SRP,5,0.7006917125058979,0.721925534089824,0.6865810499772764,200,0.4546962843747025,0.47179220692028523,0.455692937073685,-0.2459954281311954
group_I_intron,8,0.5256679574926237,0.5439178334693444,0.5087410431600208,200,0.5115067365337175,0.5051614075092506,0.531522957571551,-0.014161220958906262
tRNA,5,0.738167723749119,0.7676190476190476,0.7126007905138341,200,0.3761408653680163,0.30901217427161365,0.5463121778523969,-0.3620268583811027
tmRNA,5,0.2487341745800334,0.2563142881748807,0.2429750611719898,200,0.19420692037940906,0.20094922686891736,0.19329837875690173,-0.05452725420062435
