heldout_family,n,f1_mean,f1_std,sensitivity_mean,ppv_mean,purity_mean,avg_similarity_mean
group_I_intron,200,0.5115067365337175,0.19236911485261135,0.5051614075092506,0.531522957571551,0.0,0.5738518508426965
RNaseP,200,0.46449949658181333,0.1863595275817609,0.49057266588477566,0.45350681713089186,0.0,0.2376998487006629
SRP,200,0.4546962843747025,0.30455931822678584,0.47179220692028523,0.4556929370736851,0.0,0.3141127809395665
16S_rRNA,200,0.3959979987002602,0.11863423810672193,0.40344476497515613,0.3910071507512544,0.0,0.04599359298279285
tRNA,200,0.3761408653680163,0.10940846367172369,0.30901217427161365,0.5463121778523969,0.0,0.13810441373749432
5S_rRNA,200,0.2999023285735683,0.2703779782617592,0.2818160976204759,0.3319922866982907,0.0,0.12298229490551509
tmRNA,200,0.1942069203794091,0.10526126857447433,0.2009492268689174,0.19329837875690178,0.0,0.21198046747501656
RfamFamily,200,0.0,0.0,0.0,0.0,0.0,0.2908977727017317
