family,n,f1_mean,f1_std,sensitivity_mean,ppv_mean,purity_mean,top1_match_mean,avg_similarity_mean
5S_rRNA,10,0.7677288184578168,0.16093936452930555,0.7160817393917489,0.8729924546000983,1.0,1.0,1.1676685311243302
tRNA,7,0.7250588615151461,0.24490913584293997,0.6878734102336587,0.7848109683349958,1.0,1.0,0.45045343338564486
SRP,4,0.6602062803003897,0.3216562037010225,0.6515943582020389,0.6754817444219067,0.85,0.75,0.5459857089437896
16S_rRNA,7,0.5910893538667551,0.19700336655996417,0.5521456657926186,0.644220401570573,0.9428571428571428,1.0,0.8486250546717857
group_I_intron,9,0.4577486394738703,0.24106339446259087,0.4405048654238029,0.5124233065172065,0.911111111111111,1.0,2220822.1745243585
RNaseP,7,0.32339490292801587,0.134581989118748,0.2706579792432414,0.44498030271615174,0.7714285714285715,0.8571428571428571,8567233.862422625
tmRNA,6,0.28023470512672244,0.1329807626215633,0.2551108305260185,0.33574908046905977,1.0,1.0,13330112.817702107
